Company Name,Ticker,Price,Volume,MarketCap,AvgVolume,Yesterday Price,Yesterday Volume,5 Day Avg Price,% Change from 5 Day Avg Price,5 Day Avg Volume,% Change from 5 Day Avg Volume,30 Day Avg Price,% Change from 30 Day Avg Price,30 Day Avg Volume,% Change from 30 Day Avg Volume,6 Month Avg Price,% Change from 6 Month Avg Price,6 Month Avg Volume,% Change from 6 Month Avg Volume
Collective Growth Corp.,CGRO,9.98,6,43038750,29243.0,9.92,81.0,9.872000000000002,0.4862236628849094,29243.2,-99.72301252940855,9.872000000000002,0.4862236628849094,29243.2,-99.72301252940855,9.872000000000002,0.4862236628849094,29243.2,-99.72301252940855
Collective Growth Corp.,CGROW,1.2,4100,5175000,,,,,,,,,,,,,,,
DiamondPeak Holdings Corp.,DPHC,10.35,212257,72450000,107948.0,10.35,181045.0,10.348,0.019327406262068917,234118.0,-22.66933768441555,10.148,1.9905400078833262,137986.85,31.20453144629361,10.014645669291339,3.3486390011479212,136525.72440944883,32.60870856618581
DiamondPeak Holdings Corp.,DPHCW,2.4,34549,16800000,,,,,,,,,,,,,,,
VectoIQ Acquisition Corp.,NKLA,40.23,26643780,14519167920,17629465.0,48.92,24095764.0,61.422000000000004,-20.354270456839572,16990734.4,41.81708355113833,66.61350000000002,-26.56143274261225,22133742.0,8.864393558034605,22.456614173228353,117.84227854936373,5961303.826771653,304.20291768703675
VectoIQ Acquisition Corp.,NKLAW,20.25,2575143,7308306000,,,,,,,,,,,,,,,
