Company Name,Ticker
TPG Pace Holdings Corp.,TPGH
TPG Pace Holdings Corp.,TPGH.WS
Trinity Merger Corp.,BRMK
Trinity Merger Corp.,BRMK.WS
Twelve Seas Investment Company,BROGU
Twelve Seas Investment Company,BROG
Twelve Seas Investment Company,BROGW
Twelve Seas Investment Company,BROGR
Union Acquisition Corporation,BIOX
Union Acquisition Corporation,BIOX.WS
Andina Acquisition Corp. II,LAZY
Andina Acquisition Corp. II,LAZYW
Atlantic Acquisition Corp.,HFFG
Atlantic Acquisition Corp.,HFFGR
Draper Oakwood Technology Acquisition Inc.,RBZ
Draper Oakwood Technology Acquisition Inc.,RBZAW
Easterly Acquisition Corp.,SG
Easterly Acquisition Corp.,SG
Fintech Acquisition Corp. II,IMXI
Fintech Acquisition Corp. II,IMXIW
"Gores Holdings II, Inc.",VRRM
"Gores Holdings II, Inc.",VRRMW
Hennessy Capital Acquisition Corp. III,NRCG
Hennessy Capital Acquisition Corp. III,NRCG.WS
I-AM Capital Acquisition Company,WINR
I-AM Capital Acquisition Company,WINRW
Industrea Acquisition Corp.,BBCP
Industrea Acquisition Corp.,BBCPW
Kayne Anderson Acquisition Corp.,ALTM
Kayne Anderson Acquisition Corp.,ALTMW
Landcadia Holdings Inc.,WTRH
Landcadia Holdings Inc.,WTRHW
Matlin & Partners Acquisition Corp.,USWS
Matlin & Partners Acquisition Corp.,USWSW
"M I Acquisitions, Inc.",PRTH
"M I Acquisitions, Inc.",PRTHW
M III Acquisition Corp.,IEA
M III Acquisition Corp.,IEAWW
National Energy Services Reunited Corp.,NESRU
National Energy Services Reunited Corp.,NESR
National Energy Services Reunited Corp.,NESRW
Osprey Energy Acquisition Corporation,FLMN
Osprey Energy Acquisition Corporation,FLMNW
"Stellar Acquisition III, Inc.",PHUN
"Stellar Acquisition III, Inc.",PHUNW
TPG Pace Energy Holdings Corp.,MGY
TPG Pace Energy Holdings Corp.,MGY.WS
Acamar Partners Acquisition Corp.,ACAMU
Acamar Partners Acquisition Corp.,ACAM
Acamar Partners Acquisition Corp.,ACAMW
AGBA Acquisition Limited,AGBAU
AGBA Acquisition Limited,AGBA
AGBA Acquisition Limited,AGBAW
AGBA Acquisition Limited,AGBAR
Alberton Acquisition Corporation,ALAC
Alberton Acquisition Corporation,ALACR
Alberton Acquisition Corporation,+ALACW
Alussa Energy Acquisition Corp.,ALUS.U
Alussa Energy Acquisition Corp.,ALUS
Alussa Energy Acquisition Corp.,ALUS.WS
AMCI Acquisition Corp.,AMCIU
AMCI Acquisition Corp.,AMCI
AMCI Acquisition Corp.,AMCIW
Amplitude Healthcare Acquisition Corp.,AMHCU
Amplitude Healthcare Acquisition Corp.,AMHC
Amplitude Healthcare Acquisition Corp.,AMHCW
Andina Acquisition Corp. III,temp
Apex Technology Acquisition Corp.,APXTU
Apex Technology Acquisition Corp.,APXT
Apex Technology Acquisition Corp.,APXTW
Arya Sciences Acquisition Corp. II,ARYB.U
Arya Sciences Acquisition Corp. II,ARYB
Arya Sciences Acquisition Corp. II,ARYB.WS
Big Rock Partners Acquisition Corp.,BRPAU
Big Rock Partners Acquisition Corp.,BRPA
Big Rock Partners Acquisition Corp.,BRPAW
Big Rock Partners Acquisition Corp.,BRPAR
Brilliant Acquisition Corp.,BRLIU
Brilliant Acquisition Corp.,BRLI
Brilliant Acquisition Corp.,BRLIW
Capstar Special Purpose Acquisition Corp.,CPSR.U
Capstar Special Purpose Acquisition Corp.,CPSR
Capstar Special Purpose Acquisition Corp.,CPSR.WS
CC Neuberger Principal Holdings I,PCPL.U
CC Neuberger Principal Holdings I,PCPL
CC Neuberger Principal Holdings I,PCPL.WS
